Latitude,Longitude,Name,State,Country
11.0,78.0,Aravakurichi,Tamil Nadu,IN
11.25,76.0,Ernad,Kerala,IN
11.0,77.25,Palladam,Tamil Nadu,IN
11.25,77.5,Perundurai,Tamil Nadu,IN
11.25,75.75,Kozhikode,Kerala,IN
11.25,76.5,Kundah,Tamil Nadu,IN
11.25,76.75,Mettupalayam,Tamil Nadu,IN
11.0,78.75,Manachanallur,Tamil Nadu,IN
11.0,78.25,Thottiyam,Tamil Nadu,IN
11.0,79.5,Thiruvidaimarudur,Tamil Nadu,IN
10.75,78.0,Vedasandur,Tamil Nadu,IN
10.75,78.25,Kadavur,Tamil Nadu,IN
11.25,78.0,Paramathi-Velur,Tamil Nadu,IN
11.0,76.5,Mannarkad,Kerala,IN
10.75,78.5,Kulithalai,Tamil Nadu,IN
11.0,76.0,Ernad,Kerala,IN
11.0,77.5,Kangeyam,Tamil Nadu,IN
10.75,79.5,Kudavasal,Tamil Nadu,IN
10.75,79.0,Thanjavur,Tamil Nadu,IN
11.0,77.75,Kangeyam,Tamil Nadu,IN
10.75,79.25,Papanasam,Tamil Nadu,IN
11.25,78.25,Sendamangalam,Tamil Nadu,IN
11.25,78.5,Thuraiyur,Tamil Nadu,IN
11.25,79.0,Kunnam,Tamil Nadu,IN
11.25,78.75,Perambalur,Tamil Nadu,IN
11.25,79.5,Kattumannarkoil,Tamil Nadu,IN
11.25,79.25,Sendurai,Tamil Nadu,IN
11.5,76.5,Gudalur,Tamil Nadu,IN
11.25,79.75,Sirkali,Tamil Nadu,IN
11.5,75.75,Koyilandi,Kerala,IN
11.5,77.5,Gobichettipalayam,Tamil Nadu,IN
11.5,78.5,Attur,Tamil Nadu,IN
11.5,76.0,Thamarassery,Kerala,IN
11.5,79.5,Bhuvanagiri,Tamil Nadu,IN
11.5,77.25,Sathyamangalam,Tamil Nadu,IN
11.5,76.25,Nilambur,Kerala,IN
11.5,76.75,Udhagamandalam,Tamil Nadu,IN
11.5,77.0,Sathyamangalam,Tamil Nadu,IN
11.5,77.75,Sankari,Tamil Nadu,IN
11.5,78.25,Rasipuram,Tamil Nadu,IN
11.5,78.0,Tiruchengode,Tamil Nadu,IN
11.75,78.75,Sankarapuram,Tamil Nadu,IN
11.5,78.75,Gangavalli,Tamil Nadu,IN
11.75,77.0,Thalavadi,Tamil Nadu,IN
12.0,77.0,Chamarajanagara taluk,Karnataka,IN
12.0,75.75,Iritty,Kerala,IN
11.75,79.0,Kallakkurichi,Tamil Nadu,IN
11.75,78.25,Yercaud,Tamil Nadu,IN
12.0,76.75,Chamarajanagara taluk,Karnataka,IN
11.75,76.75,Gundlupet taluk,Karnataka,IN
11.75,76.25,Sulthanbathery,Kerala,IN
11.75,76.5,Gundlupet taluk,Karnataka,IN
11.5,79.25,Virudhachalam,Tamil Nadu,IN
12.0,76.0,Virajpet taluk,Karnataka,IN
11.75,79.75,Cuddalore,Tamil Nadu,IN
12.0,76.5,Nanjanagudu taluk,Karnataka,IN
12.0,76.25,Heggadadevanakote taluk,Karnataka,IN
11.75,75.75,Vadakara,Kerala,IN
11.75,79.25,Ulundurpettai,Tamil Nadu,IN
11.5,79.75,Parangipettai,Tamil Nadu,IN
11.75,77.75,Mettur,Tamil Nadu,IN
11.75,77.25,Thalavadi,Tamil Nadu,IN
11.5,79.0,Veppur,Tamil Nadu,IN
11.75,75.5,Thalassery,Kerala,IN
12.0,75.25,Kodagu,Karnataka,IN
11.75,76.0,Mananthavady,Kerala,IN
11.75,78.5,Attur,Tamil Nadu,IN
12.0,75.5,Taliparamba,Kerala,IN
11.75,78.0,Omalur,Tamil Nadu,IN
11.75,79.5,Panruti,Tamil Nadu,IN
11.75,77.5,Anthiyur,Tamil Nadu,IN
12.0,77.25,Hanur taluk,Karnataka,IN
12.0,77.5,Hanur taluk,Karnataka,IN
12.0,78.0,Nallampalli,Tamil Nadu,IN
12.0,77.75,Pennagaram,Tamil Nadu,IN
11.75,75.25,India,,IN
12.0,75.0,India,,IN
12.0,78.25,Dharmapuri,Tamil Nadu,IN
12.0,78.5,Harur,Tamil Nadu,IN
12.0,78.75,Sankarapuram,Tamil Nadu,IN
12.0,79.0,Sankarapuram,Tamil Nadu,IN
12.0,79.5,Vikravandi,Tamil Nadu,IN
12.0,79.25,Kandachipuram,Tamil Nadu,IN
12.0,79.75,Villianur Taluk,Puducherry,IN
12.5,77.5,Harohalli taluk,Karnataka,IN
12.5,76.5,Krishnarajapete taluk,Karnataka,IN
12.5,75.5,Sulya taluk,Karnataka,IN
12.5,78.5,Tirupathur,Tamil Nadu,IN
12.5,79.5,Vandavasi,Tamil Nadu,IN
12.25,75.0,India,,IN
12.25,75.5,Taliparamba,Kerala,IN
12.25,75.25,Hosdurg,Kerala,IN
12.25,75.75,Virajpet taluk,Karnataka,IN
12.25,76.25,Hunasuru taluk,Karnataka,IN
12.25,76.0,Ponnampete taluk,Karnataka,IN
12.25,76.5,Heggadadevanakote taluk,Karnataka,IN
12.5,79.0,Kalasapakkam,Tamil Nadu,IN
12.5,78.0,Palakkodu,Tamil Nadu,IN
12.5,75.25,Kasaragod,Kerala,IN
12.25,79.0,Chengam,Tamil Nadu,IN
12.25,78.0,Pennagaram,Tamil Nadu,IN
12.25,77.0,Malavalli taluk,Karnataka,IN
12.5,78.25,Krishnagiri,Tamil Nadu,IN
12.5,76.0,Piriyapattana taluk,Karnataka,IN
12.5,75.75,Madikeri taluku,Karnataka,IN
12.25,78.75,Chengam,Tamil Nadu,IN
12.5,77.25,Kanakapura taluk,Karnataka,IN
12.5,76.25,Krishnarajanagara taluk,Karnataka,IN
12.25,77.5,Anchetty,Tamil Nadu,IN
12.25,77.75,Anchetty,Tamil Nadu,IN
12.25,78.5,Uthangarai,Tamil Nadu,IN
12.5,76.75,Pandavapura taluk,Karnataka,IN
12.25,77.25,Hanur taluk,Karnataka,IN
12.5,78.75,Vaniyambadi,Tamil Nadu,IN
12.25,79.25,Gingee,Tamil Nadu,IN
12.25,76.75,Mysuru,Karnataka,IN
12.5,77.75,Denkanikottai,Tamil Nadu,IN
12.5,75.0,Kasaragod,Kerala,IN
12.25,79.5,Gingee,Tamil Nadu,IN
12.25,78.25,Karimangalam,Tamil Nadu,IN
12.25,79.75,Tindivanam,Tamil Nadu,IN
12.5,77.0,Madduru taluk,Karnataka,IN
12.5,79.25,Chetpet,Tamil Nadu,IN
12.5,80.0,Cheyyur,Tamil Nadu,IN
12.5,79.75,Maduranthakam,Tamil Nadu,IN
12.75,75.25,Dakshina Kannada,Karnataka,IN
12.75,75.0,Dakshina Kannada,Karnataka,IN
12.75,74.75,Mangaluru,Karnataka,IN
12.75,75.5,Putturu taluk,Karnataka,IN
12.75,75.75,Sakaleshapura taluk,Karnataka,IN
12.75,76.0,Arakalagudu taluk,Karnataka,IN
12.75,76.25,Hole Narasipura taluk,Karnataka,IN
12.75,76.5,Krishnarajapete taluk,Karnataka,IN
12.75,76.75,Nagamangala taluk,Karnataka,IN
12.75,77.0,Madduru taluk,Karnataka,IN
12.75,77.5,Bangalore South,Karnataka,IN
12.75,77.75,Anekal,Karnataka,IN
12.75,77.25,Ramanagara taluk,Karnataka,IN
12.75,78.0,Shoolagiri,Tamil Nadu,IN
12.75,78.25,Gudipalli,Andhra Pradesh,IN
12.75,79.0,Vellore,Tamil Nadu,IN
12.75,78.5,Kuppam,Andhra Pradesh,IN
12.75,78.75,Ambur,Tamil Nadu,IN
12.75,79.25,Arani,Tamil Nadu,IN
12.75,79.5,Vembakkam,Tamil Nadu,IN
12.75,79.75,Walajabad,Tamil Nadu,IN
13.0,75.0,Mangaluru taluk,Karnataka,IN
13.0,75.25,Beltangadi taluk,Karnataka,IN
13.25,75.25,Kalasa taluk,Karnataka,IN
13.0,75.75,Beluru taluk,Karnataka,IN
13.0,78.5,Venkatagirikota,Andhra Pradesh,IN
13.25,74.75,Udupi,Karnataka,IN
13.0,76.0,Aluru taluk,Karnataka,IN
13.0,79.75,Sriperumbudur,Tamil Nadu,IN
13.0,77.0,Kunigal taluk,Karnataka,IN
13.0,76.5,Channarayapattana taluk,Karnataka,IN
12.75,80.0,Chengalpattu,Tamil Nadu,IN
13.0,76.25,Hassan,Karnataka,IN
13.0,78.0,Maluru taluk,Karnataka,IN
13.0,79.0,Katpadi,Tamil Nadu,IN
13.25,75.0,Karkala taluk,Karnataka,IN
13.0,74.75,Mangaluru,Karnataka,IN
13.0,75.5,Beltangadi taluk,Karnataka,IN
13.0,77.75,Bengaluru,Karnataka,IN
13.0,77.25,Magadi taluku,Karnataka,IN
13.0,76.75,Nagamangala taluk,Karnataka,IN
13.0,79.25,Katpadi,Tamil Nadu,IN
13.0,78.25,Bangarapet taluk,Karnataka,IN
13.0,80.0,Sriperumbudur,Tamil Nadu,IN
13.0,78.75,Gudiyatham,Tamil Nadu,IN
13.0,79.5,Arakonam,Tamil Nadu,IN
13.0,77.5,Bengaluru,Karnataka,IN
13.25,75.5,Mudigere taluk,Karnataka,IN
13.25,75.75,Chikkamagaluru,Karnataka,IN
13.25,76.25,Arasikere taluku,Karnataka,IN
13.25,76.0,Beluru taluk,Karnataka,IN
13.25,76.5,Tipaturu taluk,Karnataka,IN
13.25,76.75,Turuvekere taluk,Karnataka,IN
13.25,77.0,Tumakuru,Karnataka,IN
13.25,77.25,Nelamangala taluk,Karnataka,IN
13.25,74.5,India,,IN
13.25,77.5,Doddaballapura taluk,Karnataka,IN
13.25,77.75,Devanahalli taluk,Karnataka,IN
13.25,78.0,Kolar taluk,Karnataka,IN
13.25,78.25,Srinivasapura taluku,Karnataka,IN
13.25,78.5,Mulubagilu taluk,Karnataka,IN
13.5,75.5,Narasimharajapura taluk,Karnataka,IN
13.25,78.75,Gangavaram,Andhra Pradesh,IN
13.25,79.0,Thavanampalle,Andhra Pradesh,IN
13.25,79.25,Gangadhara Nellore,Andhra Pradesh,IN
13.5,74.5,India,,IN
13.5,77.5,Gauribidanuru taluk,Karnataka,IN
13.5,78.5,Madanapalle,Andhra Pradesh,IN
13.5,79.5,Vadamalapeta,Andhra Pradesh,IN
13.5,76.5,Chikkanayakanahalli taluk,Karnataka,IN
13.25,79.5,Pallipattu,Tamil Nadu,IN
13.25,79.75,Vijayapuram,Andhra Pradesh,IN
13.25,80.0,Thiruvallur,Tamil Nadu,IN
13.25,80.25,Ponneri,Tamil Nadu,IN
13.5,74.75,Udupi,Karnataka,IN
13.5,75.0,Hebri taluku,Karnataka,IN
13.5,75.25,Koppa taluk,Karnataka,IN
13.5,76.0,Kaduru taluk,Karnataka,IN
13.5,75.75,Chikkamagaluru taluku,Karnataka,IN
13.5,76.25,Arasikere taluku,Karnataka,IN
13.5,79.0,Pakala,Andhra Pradesh,IN
13.5,78.0,Sidlaghatta taluk,Karnataka,IN
13.5,77.25,Koratagere taluku,Karnataka,IN
13.5,80.25,Tada,Andhra Pradesh,IN
13.5,78.25,Srinivasapura taluku,Karnataka,IN
13.75,75.75,Tarikere taluku,Karnataka,IN
13.75,75.5,Narasimharajapura taluk,Karnataka,IN
13.5,80.0,Satyavedu,Andhra Pradesh,IN
13.5,77.0,Tumkur taluk,Karnataka,IN
