Latitude,Longitude,Name,State,Country
22.5,82.5,Poundi-Uproda Tahsil,Chhattisgarh,IN
22.5,77.5,Seoni-Malwa Tahsil,Madhya Pradesh,IN
22.5,79.5,Chhapara Tahsil,Madhya Pradesh,IN
22.5,81.5,Mungeli,Chhattisgarh,IN
22.5,87.5,Keshpur,West Bengal,IN
22.5,84.5,Thethaitangar,Jharkhand,IN
22.5,70.5,Dhrol Taluka,Gujarat,IN
22.5,78.5,Pipariya Tahsil,Madhya Pradesh,IN
22.5,86.5,Musabani,Jharkhand,IN
22.5,85.5,Tonto,Jharkhand,IN
22.5,83.5,Lailunga Tahsil,Chhattisgarh,IN
22.5,92.5,Belaichhari Upazila,Chattogram Division,BD
23.5,73.5,Meghraj Taluka,Gujarat,IN
23.5,79.5,Tendukheda Tahsil,Madhya Pradesh,IN
23.5,72.5,Mahesana,Gujarat,IN
23.5,80.5,Dhimarkheda Tahsil,Madhya Pradesh,IN
23.5,82.5,Sonhat Tahsil,Chhattisgarh,IN
23.5,76.5,Gulana Tahsil,Madhya Pradesh,IN
23.5,77.5,Berasia Tahsil,Madhya Pradesh,IN
23.5,81.5,Shahdol,Madhya Pradesh,IN
23.5,74.5,Abapura Tehsil,Rajasthan,IN
23.5,75.5,Nagda,Madhya Pradesh,IN
23.5,78.5,Begamganj Tahsil,Madhya Pradesh,IN
23.5,70.5,Bhachau Taluka,Gujarat,IN
23.5,83.5,Balrampur Tahsil,Chhattisgarh,IN
18.5,81.5,Sukma Tahsil,Chhattisgarh,IN
23.5,84.5,Peshrar,Jharkhand,IN
23.5,85.5,Ormanjhi,Jharkhand,IN
23.5,92.5,West Phaileng,Mizoram,IN
23.5,86.5,Para,West Bengal,IN
23.5,87.5,Ausgram - II,West Bengal,IN
24.5,71.5,Vav Taluka,Gujarat,IN
24.5,75.5,Rampura Tehsil,Madhya Pradesh,IN
23.5,91.5,Matarbari,Tripura,IN
24.5,72.5,Reodar Tehsil,Rajasthan,IN
24.5,82.5,Chitrangi Tahsil,Madhya Pradesh,IN
23.5,93.5,Tedim Township,Chin,MM
24.5,81.5,Gurh Tahsil,Madhya Pradesh,IN
24.5,70.5,Islamkot,Sindh,PK
24.5,69.5,Diplo,Sindh,PK
23.5,88.5,Krishnagar-II,West Bengal,IN
24.5,80.5,Nagod Tahsil,Madhya Pradesh,IN
24.5,78.5,Lalitpur Tehsil,Uttar Pradesh,IN
24.5,74.5,Bari Sadri Tehsil,Rajasthan,IN
24.5,77.5,Ashoknagar Tahsil,Madhya Pradesh,IN
24.5,86.5,Chakai,Bihar,IN
24.5,68.5,Badīn District,Sindh,PK
24.5,84.5,Dumaria,Bihar,IN
24.5,85.5,Koderma,Jharkhand,IN
24.5,73.5,Jhadol Tehsil,Rajasthan,IN
24.5,79.5,Bijawar Tahsil,Madhya Pradesh,IN
